K_Receipt,K_Member,Quantity,Q_Amount,Q_Discount_Amount,T_Receipt
3b697a20d9e427646d92567910af6d57,32ea3bdedab835c3aa6cb68ce66565ef,1,29.9,,2016-10-03 09:44:50
60762802b48bb6d256d55b013d115013,0b3dc7efaafb0cf78a4796d42fa8d74c,1,249.9,,2016-10-04 14:49:13
31b0dd6152d2e471443debf037ae171d,4e23e1826902ec9f208e8cc61329b494,1,59.9,,2016-10-05 12:32:55
64f5569ef96004a1e1137bdf28fd4c45,94e5ea5a8c1bf546db2739673060c43f,1,54.9,,2016-10-05 21:10:56
262118ce178bb3e4590a3adcf6d62e6b,f7b62c75467e8ce080b201667cbbc274,2,119.8,,2016-10-06 14:59:56
3d58fd1ee438a43f2a826dda6b013519,ccafc1c3f270410521c3c6f3b249870f,1,41.99,,2016-10-06 19:33:34
835bf4777ad72891587719f1098e3528,f7b62c75467e8ce080b201667cbbc274,1,30.97,,2016-10-07 08:28:29
6b5e619dedba6d4297fb10dd5886912f,7a176e5d88c7acb6000a055e008c055d,2,179.8,,2016-10-08 17:43:25
d868cf92a5a1305fc7277c60062e81ac,7a176e5d88c7acb6000a055e008c055d,1,399.99,,2016-10-08 17:43:26
c98b0fbac2717f072d5089e8af088304,87b3f231705783eb2217e25851c0a45d,1,239.9,,2016-10-08 18:45:34
f9c44da06151c190a9a6c9c712873d10,1f98e3467d2b48dfb44fc12b137d3447,1,83.9,,2016-10-08 22:11:57
89f586f0cbddc6428831c41c8c333c66,4962136f755981b83b03f476e66eea7d,1,29.9,,2016-10-09 12:46:25
2825848807f070485f0f0ef3829758f4,8329519e31cb1b89bd44c3c6ae417ad6,1,11.9,,2016-10-09 22:36:44
b19169c7cb8391fb8561e094d61c531a,0ecf7f65b5ff3b9e61b637e59f495e0a,3,86.69999999999999,,2016-10-10 15:49:59
c4f710df20f7d1500da1aef81a993f65,0ecf7f65b5ff3b9e61b637e59f495e0a,1,39.99,,2016-10-10 15:50:01
bd50a7fe9fd97ea4b7663031a319e150,f7b981e8a280e455ac3cbe0d5d171bd1,1,10.9,,2016-12-23 23:16:47
ec7a019261fce44180373d45b442d78f,f7b981e8a280e455ac3cbe0d5d171bd1,1,10.9,,2017-01-05 11:56:06
b95a0a8bd30aece4e94e81f0591249d8,83e7958a94bd7f74a9414d8782f87628,1,10.9,,2017-01-05 12:01:20
38bcb524e1c38c2c1b60600a80fc8999,728e4a7d0db4845270091ded0923c71f,1,2.9,,2017-01-05 12:06:36
7a18a504c1a4b32d883e68de2e1a7db0,728e4a7d0db4845270091ded0923c71f,1,7.9,,2017-01-05 12:09:08
6acecf438369055d9243e121045cca74,728e4a7d0db4845270091ded0923c71f,1,9.9,,2017-01-05 12:11:23
ce86fa5a5108884726a2244bcae51ae6,d753459418d268407f19b64be28e3c5a,1,10.9,,2017-01-05 13:29:03
cce1b8a1c5f8b1d224e19628299c8f54,6222ef69df52b4ed71be551725551cc0,1,10.9,,2017-01-05 13:33:45
f175d67589e059cbbda956f10f0702e6,f7be9bec658c62ab6240b44cd26c0b84,1,9.9,,2017-01-05 13:34:35
0bda8164c1a12b6a388ebec8559ee287,83e7958a94bd7f74a9414d8782f87628,1,6.9,,2017-01-05 13:36:07
db7576b1fe440f4c0a808855aacf0948,6222ef69df52b4ed71be551725551cc0,1,9.9,,2017-01-05 13:37:27
1b694ef5b28d3e949a4f0ffeb2c9fcd6,d753459418d268407f19b64be28e3c5a,1,9.9,,2017-01-05 13:43:17
2f9d791088532b218b41f892cc16073b,6222ef69df52b4ed71be551725551cc0,1,9.9,,2017-01-05 13:48:48
3ce4038922670fead496aeae61a8a393,83e7958a94bd7f74a9414d8782f87628,1,10.9,,2017-01-05 13:52:39
