K_Delivery_Address,K_Member,Country,T_Start,T_End,City,Zip_Code
0,12346,United Kingdom,2010-02-03 13:08:00,,,
1,12347,Iceland,2010-10-31 14:20:00,,,
2,12348,Finland,2010-09-27 14:59:00,,,
3,12349,Italy,2010-04-29 13:20:00,,,
4,12350,Norway,2011-02-02 16:01:00,,,
5,12351,Unspecified,2010-11-29 15:23:00,,,
6,12352,Norway,2010-12-11 10:20:00,,,
7,12353,Bahrain,2010-10-27 12:44:00,,,
8,12354,Spain,2011-04-21 13:11:00,,,
9,12355,Bahrain,2010-05-21 11:59:00,,,
10,12356,Portugal,2010-11-10 09:42:00,,,
11,12357,Switzerland,2010-11-16 10:05:00,,,
12,12358,Austria,2009-08-12 07:59:00,,,
13,12359,Cyprus,2009-05-12 13:32:00,,,
14,12360,Austria,2010-02-22 09:32:00,,,
15,12361,Belgium,2010-01-26 14:37:00,,,
16,12362,Belgium,2011-02-17 10:30:00,,,
17,12363,Unspecified,2011-11-04 13:29:00,,,
18,12364,Belgium,2011-08-19 15:24:00,,,
19,12365,Cyprus,2011-02-21 13:51:00,,,
20,12366,Cyprus,2010-03-16 10:28:00,,,
21,12367,Denmark,2011-05-12 16:48:00,,,
22,12368,Cyprus,2010-03-21 15:56:00,,,
23,12369,Austria,2010-08-03 08:09:00,,,
24,12370,Austria,2010-09-02 09:41:00,2010-12-14 12:58:00,,
25,12370,Cyprus,2010-12-14 12:58:00,2010-12-17 09:38:00,,
26,12370,Austria,2010-12-17 09:38:00,2011-10-03 12:48:00,,
27,12370,Cyprus,2011-10-03 12:48:00,,,
28,12371,Switzerland,2010-04-03 18:23:00,,,
29,12372,Denmark,2011-02-16 12:46:00,,,
30,12373,Austria,2010-04-02 12:08:00,,,
31,12374,Austria,2010-04-30 14:01:00,,,
32,12375,Finland,2011-02-09 14:23:00,,,
33,12376,Switzerland,2010-10-18 08:42:00,,,
34,12377,Switzerland,2010-04-29 15:34:00,,,
35,12378,Switzerland,2010-05-26 14:07:00,,,
36,12379,Belgium,2010-06-23 12:49:00,,,
37,12380,Belgium,2010-02-15 12:05:00,,,
38,12381,Norway,2011-12-08 09:57:00,,,
39,12383,Belgium,2010-12-22 14:28:00,,,
40,12384,Switzerland,2011-10-08 11:23:00,,,
41,12385,Belgium,2010-11-25 15:14:00,,,
42,12386,Australia,2010-08-12 09:53:00,,,
43,12387,Australia,2010-10-20 16:27:00,,,
44,12388,Australia,2010-06-05 12:54:00,,,
45,12389,Australia,2010-02-22 10:15:00,,,
46,12390,Belgium,2011-09-21 09:33:00,,,
47,12391,Cyprus,2010-02-15 10:12:00,,,
48,12392,Australia,2010-04-27 14:04:00,,,
49,12393,Australia,2010-07-10 13:49:00,,,
50,12394,Belgium,2011-06-05 14:01:00,2011-07-10 08:08:00,,
51,12394,Denmark,2011-07-10 08:08:00,,,
52,12395,Belgium,2010-04-16 10:16:00,,,
53,12396,RSA,2010-03-02 13:22:00,,,
54,12397,Belgium,2011-07-27 14:21:00,,,
55,12398,Switzerland,2011-10-25 10:27:00,,,
56,12399,Belgium,2010-05-03 08:45:00,,,
57,12400,Australia,2010-10-21 13:45:00,,,
58,12401,Belgium,2011-09-02 13:50:00,,,
59,12402,Belgium,2010-07-02 12:41:00,,,
60,12403,Denmark,2010-06-07 11:39:00,,,
61,12405,Finland,2011-07-14 08:52:00,,,
62,12406,Denmark,2010-11-01 14:04:00,,,
63,12407,Belgium,2011-03-20 13:21:00,,,
64,12408,Belgium,2010-07-29 13:27:00,,,
65,12409,Switzerland,2010-05-23 15:21:00,,,
66,12410,Switzerland,2010-07-25 13:26:00,,,
67,12411,Australia,2010-10-26 09:25:00,,,
68,12412,Denmark,2010-06-18 13:22:00,,,
