K_Receipt,K_Member,Quantity,Q_Amount,T_Receipt,Q_Discount_Amount
489434,13085,166.0,505.3,2009-01-12 07:45:00,
489435,13085,60.0,145.79999999999998,2009-01-12 07:46:00,
489436,13078,193.0,630.33,2009-01-12 09:06:00,
489437,15362,145.0,310.75,2009-01-12 09:08:00,
489438,18102,826.0,2286.24,2009-01-12 09:24:00,
489439,12682,216.0,372.3,2009-01-12 09:28:00,
489440,18087,16.0,50.4,2009-01-12 09:43:00,
489441,18087,102.0,344.34000000000003,2009-01-12 09:44:00,
489442,13635,275.0,382.37,2009-01-12 09:46:00,
489443,14110,120.0,285.06,2009-01-12 09:50:00,
489445,17519,280.0,308.44,2009-01-12 09:57:00,
489446,13758,382.0,996.1,2009-01-12 10:06:00,
489448,15413,192.0,570.24,2009-01-12 10:18:00,
489450,16321,100.0,196.10000000000002,2009-01-12 10:36:00,
489460,16167,977.0,485.79,2009-01-12 10:46:00,
489461,17865,379.0,589.33,2009-01-12 10:49:00,
489462,17592,38.0,148.3,2009-01-12 10:49:00,
489465,13767,408.0,1197.8000000000002,2009-01-12 10:52:00,
489488,17238,80.0,251.1,2009-01-12 10:59:00,
489505,15712,64.0,255.5,2009-01-12 11:17:00,
489514,15311,326.0,823.02,2009-01-12 11:21:00,
489517,16329,114.0,250.06,2009-01-12 11:34:00,
489519,17700,247.0,696.73,2009-01-12 11:37:00,
489520,14911,293.0,733.63,2009-01-12 11:41:00,
489522,15998,409.0,700.31,2009-01-12 11:45:00,
489523,12931,800.0,1160.0,2009-01-12 11:46:00,
489526,12533,478.0,821.92,2009-01-12 11:50:00,
489529,17984,187.0,212.63,2009-01-12 11:51:00,
489531,14871,54.0,145.0,2009-01-12 11:57:00,
489532,13394,353.0,304.53000000000003,2009-01-12 11:58:00,
489533,16011,60.0,181.5,2009-01-12 12:02:00,
489536,16393,199.0,341.02,2009-01-12 12:13:00,
489537,14040,250.0,633.33,2009-01-12 12:14:00,
489539,15061,1598.0,2887.14,2009-01-12 12:18:00,
489540,12913,188.0,537.96,2009-01-12 12:18:00,
489542,15061,264.0,387.6,2009-01-12 12:19:00,
489544,14341,226.0,281.82,2009-01-12 12:20:00,
489545,17804,92.0,124.95,2009-01-12 12:22:00,
489546,14156,212.0,584.5,2009-01-12 12:30:00,
489547,13599,595.0,641.45,2009-01-12 12:30:00,
489550,14156,232.0,482.3,2009-01-12 12:33:00,
489552,17063,129.0,278.61,2009-01-12 12:36:00,
489556,15719,174.0,377.15,2009-01-12 12:47:00,
489557,12490,438.0,531.94,2009-01-12 12:52:00,
489558,15793,154.0,291.58000000000004,2009-01-12 12:54:00,
489559,17056,26.0,128.60000000000002,2009-01-12 12:55:00,
